86,  0.33203 0.030762 -0.052246 1.005371 -0.812500 0.062500 1.625000 0.192383 0.033691 -0.441406;
87,  0.33594 0.000000 -0.028809 0.989746 -1.062500 0.000000 1.375000 0.192383 0.033691 -0.441406;
88,  0.33984 0.019043 -0.048340 1.001465 -1.187500 -0.375000 1.375000 0.192383 0.033691 -0.441406;
89,  0.34375 0.019043 -0.052246 1.012695 -1.250000 -0.625000 0.937500 0.199707 0.048340 -0.443848;
90,  0.34766 0.011230 -0.044434 1.001465 -0.625000 -0.937500 0.687500 0.199707 0.048340 -0.443848;
91,  0.35156 0.015137 -0.048340 0.985840 -0.250000 -0.937500 0.562500 0.199707 0.048340 -0.443848;
92,  0.35547 0.011230 -0.040527 0.985840 -0.312500 -0.750000 0.312500 0.207519 0.041016 -0.438477;
93,  0.35938 0.022949 -0.044434 0.985840 -0.562500 -0.250000 0.062500 0.207519 0.041016 -0.438477;
94,  0.36328 0.022949 -0.067871 1.005371 -1.000000 -0.062500 0.250000 0.207519 0.041016 -0.438477;
95,  0.36719 0.019043 -0.048340 1.001465 -1.187500 0.000000 0.000000 0.207519 0.041016 -0.438477;
96,  0.37109 0.019043 -0.052246 0.993652 -0.812500 0.062500 -0.312500 0.207519 0.041016 -0.438477;
97,  0.37500 0.019043 -0.056152 0.989746 -0.437500 0.312500 -0.562500 0.207519 0.041016 -0.438477;
98,  0.37891 0.019043 -0.032715 0.997559 -0.312500 0.375000 -0.500000 0.207519 0.041016 -0.438477;
99,  0.38281 0.019043 -0.048340 0.978027 -0.250000 0.875000 -0.625000 0.212402 0.038574 -0.446289;
100,  0.38672 -0.003906 -0.036621 1.001465 -0.312500 1.312500 -0.562500 0.212402 0.038574 -0.446289;
101,  0.39062 -0.003906 -0.052246 1.016602 -0.750000 1.250000 -0.687500 0.212402 0.038574 -0.446289;
102,  0.39453 0.015137 -0.056152 1.005371 -0.750000 1.250000 -0.562500 0.209961 0.025879 -0.451172;
103,  0.39844 0.003418 -0.056152 1.016602 -0.875000 1.812500 -0.250000 0.209961 0.025879 -0.451172;
104,  0.40234 0.000000 -0.040527 1.005371 -1.375000 2.187500 0.000000 0.209961 0.025879 -0.451172;
105,  0.40625 0.003418 -0.036621 0.989746 -1.250000 2.500000 -0.125000 0.209961 0.025879 -0.451172;
106,  0.41016 0.022949 -0.036621 1.005371 -1.250000 2.875000 -0.187500 0.202148 0.038574 -0.446289;
107,  0.41406 0.000000 -0.040527 1.024414 -0.937500 3.187500 -0.125000 0.202148 0.038574 -0.446289;
